timestamp_iso,trial_index,prime,target,condition,prime_time_s,isi_s,target_time_s,resp_window_s,resp_key,correct,rt_ms
2025-10-03T06:18:59.461,104,brush,crown,unrelated,0.2,1.004,0.2,1.56,left,1,1197.72
2025-10-03T06:19:02.126,105,roof,bad,unrelated,0.2,0.942,0.2,1.483,left,1,1164.72
2025-10-03T06:19:04.789,106,rug,shallow,unrelated,0.2,1.002,0.2,1.425,left,1,744.37
2025-10-03T06:19:07.370,107,hide,seek,related,0.2,0.938,0.2,1.405,right,1,681.1
2025-10-03T06:19:10.067,108,stone,sheet,unrelated,0.2,0.958,0.2,1.499,left,1,997.45
2025-10-03T06:19:12.849,109,clock,eggs,unrelated,0.2,1.019,0.2,1.525,left,1,981.79
2025-10-03T06:19:15.647,110,up,high,related,0.2,1.079,0.2,1.49,right,1,597.76
2025-10-03T06:19:18.328,111,fence,bright,unrelated,0.2,0.978,0.2,1.464,left,1,1080.95
2025-10-03T06:19:21.177,112,coin,write,unrelated,0.2,1.021,0.2,1.588,left,1,929.73
2025-10-03T06:19:23.939,113,stone,feet,unrelated,0.2,0.951,0.2,1.578,left,1,1146.7
2025-10-03T06:19:26.588,114,horn,galaxy,unrelated,0.2,0.983,0.2,1.41,left,1,688.85
2025-10-03T06:19:29.301,115,fence,few,unrelated,0.2,0.943,0.2,1.543,left,1,647.71
2025-10-03T06:19:31.983,116,bridge,rain,unrelated,0.2,0.963,0.2,1.484,left,1,997.63
2025-10-03T06:19:34.847,117,bread,butter,related,0.2,1.079,0.2,1.56,right,1,463.13
2025-10-03T06:19:37.478,118,ink,pen,related,0.2,0.971,0.2,1.413,left,0,812.05
2025-10-03T06:19:40.060,119,stone,hell,unrelated,0.2,0.901,0.2,1.431,left,1,780.18
2025-10-03T06:19:42.825,120,kill,kill,related,0.2,0.964,0.2,1.574,right,1,747.45
2025-10-03T06:19:45.720,121,arm,leg,related,0.2,1.076,0.2,1.584,right,1,814.53
2025-10-03T06:19:48.518,122,bread,eggs,related,0.2,0.97,0.2,1.592,right,1,812.13
2025-10-03T06:19:51.399,123,coat,bug,unrelated,0.2,1.082,0.2,1.574,left,1,847.26
2025-10-03T06:19:54.095,124,roof,high,unrelated,0.2,0.979,0.2,1.483,right,0,949.76
2025-10-03T06:19:56.844,125,stick,dead,unrelated,0.2,1.071,0.2,1.437,left,1,1114.67
2025-10-03T06:19:59.608,126,king,crown,related,0.2,1.073,0.2,1.456,left,0,811.93
2025-10-03T06:20:02.406,127,woman,man,related,0.2,1.073,0.2,1.485,right,1,948.83
2025-10-03T06:20:05.070,128,clock,far,unrelated,0.2,1.011,0.2,1.423,left,1,1049.04
2025-10-03T06:20:07.901,129,bird,spade,unrelated,0.2,1.078,0.2,1.512,right,0,796.12
2025-10-03T06:20:10.599,130,old,young,related,0.2,1.028,0.2,1.435,right,1,660.42
2025-10-03T06:20:13.414,131,stone,win,unrelated,0.2,1.064,0.2,1.523,left,1,861.92
2025-10-03T06:20:16.145,132,many,few,related,0.2,1.09,0.2,1.4,right,1,1012.16
2025-10-03T06:20:18.926,133,fat,thin,related,0.2,1.005,0.2,1.529,right,1,712.64
2025-10-03T06:20:21.690,134,jump,leap,related,0.2,1.055,0.2,1.479,left,0,796.35
2025-10-03T06:20:24.286,135,floor,mad,unrelated,0.2,0.915,0.2,1.44,left,1,898.08
2025-10-03T06:20:27.067,136,moon,star,related,0.2,1.071,0.2,1.464,right,1,1380.12
2025-10-03T06:20:29.933,137,narrow,wide,related,0.2,1.054,0.2,1.578,right,1,929.88
2025-10-03T06:20:32.714,138,knife,cut,related,0.2,1.066,0.2,1.481,right,1,1045.18
2025-10-03T06:20:35.443,139,candle,pig,unrelated,0.2,0.919,0.2,1.567,left,1,1047.1
2025-10-03T06:20:38.173,140,hard,rock,related,0.2,0.98,0.2,1.514,right,1,1077.84
2025-10-03T06:20:40.873,141,big,small,related,0.2,0.952,0.2,1.508,right,1,863.51
2025-10-03T06:20:43.604,142,cold,freeze,related,0.2,0.964,0.2,1.541,right,1,1146.54
2025-10-03T06:20:46.418,143,lamp,wealthy,unrelated,0.2,1.044,0.2,1.535,left,1,1094.05
2025-10-03T06:20:49.147,144,sad,cry,related,0.2,1.041,0.2,1.461,right,1,816.41
2025-10-03T06:20:51.879,145,cup,water,unrelated,0.2,1.015,0.2,1.489,right,0,781.06
2025-10-03T06:20:54.727,146,smart,wise,related,0.2,1.049,0.2,1.565,right,1,693.92
2025-10-03T06:20:57.474,147,clock,fire,unrelated,0.2,0.928,0.2,1.585,left,1,1077.38
2025-10-03T06:21:00.124,148,bone,stale,unrelated,0.2,0.905,0.2,1.509,left,1,1078.88
2025-10-03T06:21:02.786,149,cup,cover,unrelated,0.2,1.027,0.2,1.406,left,1,965.28
2025-10-03T06:21:05.584,150,horn,dry,unrelated,0.2,1.003,0.2,1.557,left,1,980.45
2025-10-03T06:21:08.348,151,month,year,related,0.2,0.98,0.2,1.561,right,1,563.24
2025-10-03T06:21:10.929,152,plate,itch,unrelated,0.2,0.918,0.2,1.427,left,1,696.58
2025-10-03T06:21:13.728,153,kind,mean,related,0.2,1.089,0.2,1.468,right,1,715.16
