timestamp_iso,trial_index,item_file,item_type,marker_code,rt_ms,button,correct
2025-09-07T08:23:08.046,144,item_04.jpg,irrelevant,4,472.50,left,1
2025-09-07T08:23:09.496,145,item_05.jpg,irrelevant,5,407.77,left,1
2025-09-07T08:23:10.994,146,item_05.jpg,irrelevant,5,457.93,left,1
2025-09-07T08:23:12.610,147,item_06.jpg,probe,6,574.15,left,1
2025-09-07T08:23:14.392,148,item_04.jpg,irrelevant,4,729.46,left,1
2025-09-07T08:23:15.907,149,item_04.jpg,irrelevant,4,462.35,left,1
2025-09-07T08:23:17.421,150,item_04.jpg,irrelevant,4,465.43,left,1
2025-09-07T08:23:19.038,151,item_03.jpg,irrelevant,3,573.14,left,1
2025-09-07T08:23:20.702,152,item_04.jpg,irrelevant,4,617.30,left,1
2025-09-07T08:23:22.236,153,item_01.jpg,irrelevant,1,493.00,left,1
2025-09-07T08:23:23.783,154,item_02.jpg,target,2,503.47,right,1
2025-09-07T08:23:25.465,155,item_03.jpg,irrelevant,3,631.87,left,1
2025-09-07T08:23:27.062,156,item_03.jpg,irrelevant,3,555.30,left,1
2025-09-07T08:23:28.612,157,item_02.jpg,target,2,500.93,right,1
2025-09-07T08:23:30.210,158,item_05.jpg,irrelevant,5,557.03,left,1
2025-09-07T08:23:31.776,159,item_02.jpg,target,2,520.07,right,1
2025-09-07T08:23:33.275,160,item_06.jpg,probe,6,445.72,left,1
2025-09-07T08:23:35.161,161,item_03.jpg,irrelevant,3,0.35,right,0
2025-09-07T08:23:36.704,162,item_02.jpg,target,2,506.26,right,1
2025-09-07T08:23:38.254,163,item_04.jpg,irrelevant,4,504.59,left,1
2025-09-07T08:23:39.855,164,item_01.jpg,irrelevant,1,553.64,left,1
2025-09-07T08:23:41.367,165,item_05.jpg,irrelevant,5,472.56,left,1
2025-09-07T08:23:43.234,166,item_06.jpg,probe,6,817.64,left,1
2025-09-07T08:23:44.749,167,item_04.jpg,irrelevant,4,474.91,left,1
2025-09-07T08:23:46.179,168,item_06.jpg,probe,6,388.25,left,1
2025-09-07T08:23:47.598,169,item_06.jpg,probe,6,365.87,left,1
